"source","target","dist"
"UGAGLLUIL","TGNTIGLHND",0.237
"GUTDNHTTAA","UUWAULWHNI",0.703
"GLAWATIIGT","HITTILWHUA",0.6175
"UWHUGWGWNG","NNLNNUAWA",0.398
"HNDTDWGNWI","UWWGHLNWA",0.442
"HUWHUAIDHW","HTAAIUHNUA",0.3815
"HITTILWHUA","UWWGHLNWA",0.7025
"GTUUDTNNDN","HHALUNAUUN",0.5245
"GUTDNHTTAA","GTWWHGNWHU",0.467
"TGLDTUGHII","LTLIGDGLU",0.4885
"GAHNAWTHGN","TAULIIWGT",0.9705
"GTUUDTNNDN","HITTILWHUA",0.7125
"HITTILWHUA","HHALUNAUUN",0.343
"GUTDNHTTAA","HUWHUAIDHW",0.6695
"GGUNIGLDHL","HNDTDWGNWI",1.048
"GLWAUTHLGL","WDGAGUIGT",0.8165
"GLAWATIIGT","HHALUNAUUN",0.5395
"GLAWATIIGT","HNDTDWGNWI",0.849
"UWWGHLNWA","THALNTTHNW",0.4885
"ULALWIHHD","NNLNNUAWA",0.431
"GTWWHGNWHU","HTAAIUHNUA",0.703
"GGUNIGLDHL","THALNTTHNW",0.7645
"LTLIGDGLU","WDGAGUIGT",0.4925
"GTWWHGNWHU","NTWGIANDN",1.0725
"HHALUNAUUN","UWHUGWGWNG",0.249
"HHALUNAUUN","TWDDNHNGT",0.944
"HUWHUAIDHW","UUWAULWHNI",0.5015
"HITTILWHUA","WDGAGUIGT",0.7515
"UWHUGWGWNG","NTWGIANDN",0.9785
"GGUNIGLDHL","ULALWIHHD",0.972
"GUTDNHTTAA","UWHUGWGWNG",0.373
"GUTDNHTTAA","TWDDNHNGT",1.068
"GGUNIGLDHL","NNLNNUAWA",0.8875
"TGLDTUGHII","THALNTTHNW",0.41
"THALNTTHNW","DNULGNUIU",0.3945
"GTUUDTNNDN","ULALWIHHD",0.6515
"GGUNIGLDHL","HHTUUANAGN",0.711
"HHALUNAUUN","WDGAGUIGT",0.5635
"UUWAULWHNI","NNLNNUAWA",0.452
"GUTDNHTTAA","WDGAGUIGT",0.8295
"GTUUDTNNDN","NNLNNUAWA",0.3755
"GAHWLLLADH","HTAAIUHNUA",0.66
"HNDTDWGNWI","UUWAULWHNI",0.5625
"HNDTDWGNWI","ULALWIHHD",0.5415
"GGUNIGLDHL","LTLIGDGLU",0.8995
"GGUNIGLDHL","UWWGHLNWA",1.098
"HUWHUAIDHW","LTLIGDGLU",0.4305
"GLWAUTHLGL","TGLDTUGHII",0.7025
"HITTILWHUA","LTLIGDGLU",0.516
"THALNTTHNW","NTWGIANDN",1.0205
"HHALUNAUUN","DNULGNUIU",0.3
"UWWGHLNWA","DNULGNUIU",0.6595
"TWDDNHNGT","NTWGIANDN",0.4385
"GAHWLLLADH","HNDTDWGNWI",0.6095
"GAHNAWTHGN","HHTUUANAGN",1.067
"GUTDNHTTAA","UWLGHUIDGH",1.0035
"GTWWHGNWHU","GLWAUTHLGL",0.73
"GAHWLLLADH","DNULGNUIU",0.335
"THALNTTHNW","NNLNNUAWA",0.278
"HTAAIUHNUA","UUWAULWHNI",0.613
"HUWHUAIDHW","WDGAGUIGT",0.678
"ULALWIHHD","UWHUGWGWNG",0.51
"GNUHLADAII","NTWGIANDN",0.7355
"HNDTDWGNWI","TGLDTUGHII",0.625
"UUWAULWHNI","UWWGHLNWA",0.6125
"GLWAUTHLGL","DNULGNUIU",0.687
"TGNTIGLHND","TAULIIWGT",0.5365
"UWHUGWGWNG","TWDDNHNGT",0.928
"GNUHLADAII","TGNTIGLHND",0.2095
"UUWAULWHNI","UWHUGWGWNG",0.531
"GDAHWLHHWA","GLAWATIIGT",0.9295
"UWWGHLNWA","WDGAGUIGT",0.789
"UWHUGWGWNG","UWWGHLNWA",0.6085
"GUTDNHTTAA","HITTILWHUA",0.467
"HITTILWHUA","NNLNNUAWA",0.492
"GTWWHGNWHU","NNLNNUAWA",0.4645
"GUTDNHTTAA","NNLNNUAWA",0.57
"GAHNAWTHGN","NTWGIANDN",0.364
"HITTILWHUA","HHTUUANAGN",0.3155
"GTUUDTNNDN","HTAAIUHNUA",0.7505
"GAHWLLLADH","UWHUGWGWNG",0.206
"HHTUUANAGN","NNLNNUAWA",0.3315
"GAHWLLLADH","THALNTTHNW",0.326
"GTWWHGNWHU","DNULGNUIU",0.378
"HTAAIUHNUA","UWHUGWGWNG",0.609
"HHTUUANAGN","UWHUGWGWNG",0.2215
"HHALUNAUUN","UWWGHLNWA",0.5145
"GNUHLADAII","GLAWATIIGT",1.0395
"ULALWIHHD","WDGAGUIGT",0.663
"TAULIIWGT","NTWGIANDN",0.8705
"GLAWATIIGT","NTWGIANDN",0.793
"GGUNIGLDHL","NTWGIANDN",0.727
"HHTUUANAGN","UWWGHLNWA",0.542
"HNDTDWGNWI","WDGAGUIGT",0.739
"UWWGHLNWA","LTLIGDGLU",0.5535
"GDAHWLHHWA","TWDDNHNGT",0.342
"GUTDNHTTAA","ULALWIHHD",0.6545
"TGLDTUGHII","NNLNNUAWA",0.4645
"GUTDNHTTAA","GAHWLLLADH",0.424
"TWDDNHNGT","NNLNNUAWA",1.093
"GAHWLLLADH","UUWAULWHNI",0.582
"GGUNIGLDHL","GDAHWLHHWA",0.8635
"GUTDNHTTAA","HHTUUANAGN",0.3065
"GTWWHGNWHU","HHALUNAUUN",0.343
"GTWWHGNWHU","ULALWIHHD",0.604
"GNUHLADAII","TWDDNHNGT",0.452
"GTWWHGNWHU","THALNTTHNW",0.4375
"GTUUDTNNDN","GTWWHGNWHU",0.7125
"HWLGHWAUTI","UWLGHUIDGH",0.5765
"HHTUUANAGN","UUWAULWHNI",0.4645
"GUTDNHTTAA","GTUUDTNNDN",0.7905
"HTAAIUHNUA","NNLNNUAWA",0.53
"UWHUGWGWNG","DNULGNUIU",0.284
"GGUNIGLDHL","TGNTIGLHND",0.836
"GUTDNHTTAA","GLAWATIIGT",0.6635
"GLWAUTHLGL","ULALWIHHD",0.3085
"TGLDTUGHII","NTWGIANDN",1.045
"GLAWATIIGT","HTAAIUHNUA",0.8995
"HHALUNAUUN","UUWAULWHNI",0.437
"HHTUUANAGN","WDGAGUIGT",0.591
"GGUNIGLDHL","GAHWLLLADH",0.7735
"UWHUGWGWNG","THALNTTHNW",0.3435
"GNUHLADAII","GAHNAWTHGN",0.7525
"UUWAULWHNI","LTLIGDGLU",0.464
"UGAGLLUIL","THALNTTHNW",1.0475
"GTUUDTNNDN","UWHUGWGWNG",0.6185
"GLAWATIIGT","GLWAUTHLGL",0.9265
"GGUNIGLDHL","GUTDNHTTAA",0.8625
"UGAGLLUIL","NTWGIANDN",0.516
"GAHWLLLADH","ULALWIHHD",0.561
"HHALUNAUUN","UGAGLLUIL",1.0215
"GLWAUTHLGL","UWHUGWGWNG",0.636
"TGNTIGLHND","TWDDNHNGT",0.3145
"UWHUGWGWNG","WDGAGUIGT",0.6575
"GTUUDTNNDN","LTLIGDGLU",0.4535
"HUWHUAIDHW","ULALWIHHD",0.453
"ULALWIHHD","LTLIGDGLU",0.443
"GITGUWWDLT","UWLGHUIDGH",1.027
"HHALUNAUUN","ULALWIHHD",0.3885
"GGUNIGLDHL","HITTILWHUA",0.8165
"HITTILWHUA","HUWHUAIDHW",0.5915
"GUTDNHTTAA","GNUHLADAII",0.975
"GLWAUTHLGL","UUWAULWHNI",0.505
"HNDTDWGNWI","LTLIGDGLU",0.5035
"GLAWATIIGT","HUWHUAIDHW",0.788
"GUTDNHTTAA","TGNTIGLHND",0.8375
"GUTDNHTTAA","GLWAUTHLGL",0.808
"GGUNIGLDHL","HUWHUAIDHW",0.987
"UWHUGWGWNG","LTLIGDGLU",0.422
"UGAGLLUIL","TWDDNHNGT",0.2325
"HITTILWHUA","TWDDNHNGT",1.022
"GTWWHGNWHU","GAHWLLLADH",0.222
"GLAWATIIGT","TGNTIGLHND",0.902
"HUWHUAIDHW","UWWGHLNWA",0.381
"ULALWIHHD","TGLDTUGHII",0.5765
"GGUNIGLDHL","TWDDNHNGT",0.6765
"GTUUDTNNDN","DNULGNUIU",0.6695
"HHTUUANAGN","TWDDNHNGT",0.9165
"HTAAIUHNUA","WDGAGUIGT",0.7895
"DNULGNUIU","LTLIGDGLU",0.473
"DNULGNUIU","NTWGIANDN",0.8725
"HITTILWHUA","NTWGIANDN",1.0725
"HHALUNAUUN","LTLIGDGLU",0.316
"UGAGLLUIL","TAULIIWGT",0.5095
"TGLDTUGHII","TWDDNHNGT",0.9945
"GTWWHGNWHU","WDGAGUIGT",0.7515
"GLAWATIIGT","UUWAULWHNI",0.8215
"UUWAULWHNI","TGLDTUGHII",0.5975
"GLAWATIIGT","TWDDNHNGT",0.7425
"HTAAIUHNUA","THALNTTHNW",0.489
"GAHWLLLADH","UGAGLLUIL",1.0565
"GLAWATIIGT","ULALWIHHD",0.8005
"GGUNIGLDHL","TGLDTUGHII",0.789
"ULALWIHHD","THALNTTHNW",0.3625
"GTWWHGNWHU","TWDDNHNGT",1.022
"GTWWHGNWHU","UGAGLLUIL",1.0995
"GUTDNHTTAA","UGAGLLUIL",0.7555
"TGNTIGLHND","DNULGNUIU",0.9815
"HTAAIUHNUA","LTLIGDGLU",0.542
"HNDTDWGNWI","THALNTTHNW",0.4385
"HHALUNAUUN","HNDTDWGNWI",0.4645
"GUTDNHTTAA","UWWGHLNWA",0.7805
"GDAHWLHHWA","TAULIIWGT",0.564
"HHTUUANAGN","THALNTTHNW",0.2085
"ULALWIHHD","DNULGNUIU",0.561
"GTUUDTNNDN","HHTUUANAGN",0.552
"GAHNAWTHGN","UWHUGWGWNG",1.0785
"GLAWATIIGT","LTLIGDGLU",0.7125
"GAHNAWTHGN","TWDDNHNGT",0.5385
"GLAWATIIGT","NNLNNUAWA",0.6885
"HNDTDWGNWI","DNULGNUIU",0.6095
"HTAAIUHNUA","ULALWIHHD",0.592
"GTUUDTNNDN","HUWHUAIDHW",0.639
"GAHWLLLADH","UWWGHLNWA",0.6595
"UUWAULWHNI","WDGAGUIGT",0.7115
"THALNTTHNW","TWDDNHNGT",0.97
"HHTUUANAGN","HHALUNAUUN",0.1825
"GDAHWLHHWA","GNUHLADAII",0.182
"GUTDNHTTAA","TGLDTUGHII",0.4395
"GTUUDTNNDN","GAHWLLLADH",0.6695
"GGUNIGLDHL","DNULGNUIU",0.6165
"UWWGHLNWA","NNLNNUAWA",0.5295
"GAHWLLLADH","HHALUNAUUN",0.3
"UHTDNAUHUN","UWLGHUIDGH",0.408
"HITTILWHUA","UUWAULWHNI",0.625
"TWDDNHNGT","DNULGNUIU",0.822
"GLWAUTHLGL","UWWGHLNWA",0.7175
"HTAAIUHNUA","DNULGNUIU",0.66
"GAHNAWTHGN","DNULGNUIU",0.9725
"UHTDNAUHUN","UWDAATNGWT",1.0215
"TGLDTUGHII","DNULGNUIU",0.3505
"GLWAUTHLGL","HHTUUANAGN",0.5695
"DNULGNUIU","WDGAGUIGT",0.7085
"GAHWLLLADH","WDGAGUIGT",0.7085
"GAHWLLLADH","TGLDTUGHII",0.1945
"THALNTTHNW","WDGAGUIGT",0.5375
"GUTDNHTTAA","NTWGIANDN",0.7285
"GLWAUTHLGL","LTLIGDGLU",0.569
"TGNTIGLHND","NTWGIANDN",0.598
"DNULGNUIU","NNLNNUAWA",0.449
"GGUNIGLDHL","UUWAULWHNI",1.0205
"GAHWLLLADH","GLWAUTHLGL",0.687
"HHTUUANAGN","ULALWIHHD",0.416
"UGAGLLUIL","UWHUGWGWNG",1.0055
"UWHUGWGWNG","TGNTIGLHND",1.06
"HITTILWHUA","HTAAIUHNUA",0.703
"GAHWLLLADH","NTWGIANDN",1.0295
"HTAAIUHNUA","TGLDTUGHII",0.6755
"GTUUDTNNDN","TGLDTUGHII",0.685
"GAHWLLLADH","LTLIGDGLU",0.473
"GLAWATIIGT","THALNTTHNW",0.5655
"TGLDTUGHII","WDGAGUIGT",0.724
"GDAHWLHHWA","DNULGNUIU",1.009
"HHTUUANAGN","HUWHUAIDHW",0.431
"UWHUGWGWNG","TGLDTUGHII",0.2215
"HITTILWHUA","HNDTDWGNWI",0.6525
"GTWWHGNWHU","UWWGHLNWA",0.7025
"GUTDNHTTAA","GDAHWLHHWA",0.865
"HHALUNAUUN","HTAAIUHNUA",0.515
"HHALUNAUUN","NTWGIANDN",0.9945
"GUTDNHTTAA","UHTDNAUHUN",1.0755
"HITTILWHUA","DNULGNUIU",0.378
"GGUNIGLDHL","GTWWHGNWHU",0.8165
"GGUNIGLDHL","HHALUNAUUN",0.7385
"GTWWHGNWHU","HHTUUANAGN",0.3155
"HTAAIUHNUA","UWWGHLNWA",0.1545
"GNUHLADAII","UGAGLLUIL",0.3745
"GDAHWLHHWA","TGNTIGLHND",0.1825
"GUTDNHTTAA","GAHNAWTHGN",0.8285
"GAHWLLLADH","GLAWATIIGT",0.5745
"UUWAULWHNI","THALNTTHNW",0.411
"GTUUDTNNDN","GLAWATIIGT",0.909
"HHALUNAUUN","THALNTTHNW",0.181
"HUWHUAIDHW","THALNTTHNW",0.3775
"HUWHUAIDHW","UWHUGWGWNG",0.4975
"GGUNIGLDHL","HTAAIUHNUA",1.0985
"GAHWLLLADH","NNLNNUAWA",0.449
"GGUNIGLDHL","UWHUGWGWNG",0.7225
"GLAWATIIGT","HHTUUANAGN",0.512
"GAHWLLLADH","HITTILWHUA",0.222
"GLAWATIIGT","UWHUGWGWNG",0.5235
"GAHWLLLADH","HHTUUANAGN",0.2725
"HITTILWHUA","UWHUGWGWNG",0.249
"HITTILWHUA","THALNTTHNW",0.4375
"GLAWATIIGT","UWWGHLNWA",0.899
"GAHNAWTHGN","GLAWATIIGT",0.893
"UWDAATNGWT","UWLGHUIDGH",0.9495
"HTAAIUHNUA","HNDTDWGNWI",0.4425
"GLWAUTHLGL","HUWHUAIDHW",0.6065
"GUTDNHTTAA","LTLIGDGLU",0.582
"GLWAUTHLGL","NNLNNUAWA",0.557
"GTUUDTNNDN","UWWGHLNWA",0.75
"GGUNIGLDHL","GNUHLADAII",0.9735
"GLWAUTHLGL","THALNTTHNW",0.516
"GDAHWLHHWA","NTWGIANDN",0.6255
"GTUUDTNNDN","HNDTDWGNWI",0.7
"UUWAULWHNI","DNULGNUIU",0.582
"HUWHUAIDHW","DNULGNUIU",0.5485
"GITGUWWDLT","UHTDNAUHUN",1.099
"GLWAUTHLGL","HNDTDWGNWI",0.6675
"HUWHUAIDHW","HNDTDWGNWI",0.277
"GTWWHGNWHU","GLAWATIIGT",0.6175
"GTWWHGNWHU","LTLIGDGLU",0.516
"GAHNAWTHGN","UGAGLLUIL",0.616
"HNDTDWGNWI","NNLNNUAWA",0.4795
"HHALUNAUUN","TGLDTUGHII",0.3155
"HHALUNAUUN","NNLNNUAWA",0.304
"GTUUDTNNDN","UUWAULWHNI",0.6725
"GLAWATIIGT","TGLDTUGHII",0.59
"HUWHUAIDHW","TGLDTUGHII",0.564
"GLWAUTHLGL","HITTILWHUA",0.73
"NNLNNUAWA","WDGAGUIGT",0.4145
"HHALUNAUUN","HUWHUAIDHW",0.4035
"GLAWATIIGT","UGAGLLUIL",0.82
"HHTUUANAGN","TGNTIGLHND",1.076
"GGUNIGLDHL","UGAGLLUIL",0.754
"GUTDNHTTAA","HHALUNAUUN",0.279
"UUWAULWHNI","ULALWIHHD",0.3515
"UWWGHLNWA","TGLDTUGHII",0.675
"HUWHUAIDHW","NNLNNUAWA",0.4185
"HHTUUANAGN","HTAAIUHNUA",0.5425
"ULALWIHHD","UWWGHLNWA",0.5915
"GGUNIGLDHL","GAHNAWTHGN",0.827
"GLAWATIIGT","WDGAGUIGT",0.948
"UGAGLLUIL","TGLDTUGHII",1.072
"GUTDNHTTAA","HNDTDWGNWI",0.7305
"HITTILWHUA","ULALWIHHD",0.604
"HHTUUANAGN","NTWGIANDN",0.967
"GAHNAWTHGN","HHALUNAUUN",1.0945
"GTWWHGNWHU","HNDTDWGNWI",0.6525
"GAHNAWTHGN","TGNTIGLHND",0.698
"HHTUUANAGN","LTLIGDGLU",0.3435
"GUTDNHTTAA","HTAAIUHNUA",0.781
"GAHWLLLADH","HUWHUAIDHW",0.5485
"GUTDNHTTAA","DNULGNUIU",0.424
"HWLGHWAUTI","UHTDNAUHUN",0.4585
"GTWWHGNWHU","HUWHUAIDHW",0.5915
"GLAWATIIGT","DNULGNUIU",0.4175
"GTWWHGNWHU","TGLDTUGHII",0.1825
"HHTUUANAGN","HNDTDWGNWI",0.492
"GAHWLLLADH","TWDDNHNGT",0.979
"GTWWHGNWHU","HITTILWHUA",0.1825
"HHTUUANAGN","DNULGNUIU",0.2725
"UGAGLLUIL","DNULGNUIU",0.8995
"GTWWHGNWHU","UUWAULWHNI",0.625
"HNDTDWGNWI","UWHUGWGWNG",0.5585
"THALNTTHNW","LTLIGDGLU",0.29
"GDAHWLHHWA","GAHNAWTHGN",0.7255
"GNUHLADAII","TAULIIWGT",0.674
"GTWWHGNWHU","UWHUGWGWNG",0.249
"GDAHWLHHWA","UGAGLLUIL",0.2645
"GTUUDTNNDN","GLWAUTHLGL",0.7775
"GLWAUTHLGL","HTAAIUHNUA",0.718
"HITTILWHUA","UGAGLLUIL",1.0995
"GUTDNHTTAA","THALNTTHNW",0.447
"HHTUUANAGN","UGAGLLUIL",0.994
"NNLNNUAWA","LTLIGDGLU",0.221
"HITTILWHUA","TGLDTUGHII",0.1825
"TAULIIWGT","TWDDNHNGT",0.587
"GTUUDTNNDN","WDGAGUIGT",0.297
"HHTUUANAGN","TGLDTUGHII",0.288
"GTUUDTNNDN","THALNTTHNW",0.4985
"GLWAUTHLGL","HHALUNAUUN",0.542
